Timestamp,性別,曾參加類似營隊,營隊的訊息來源(可複選) ,參加營隊動機(可複選) ,課程內容設計難度,課程主題安排順序適當程度,講師講解授課是否足夠清楚,關於課程時間規劃是否足夠適當,哪些內容是您認為需要卻沒有涵蓋在這次的課程,對於營隊提供的教學硬體設施的滿意程度,對於營隊提供的飲食的滿意程度,對於營隊提供的住宿的滿意程度,此次營隊最大的收獲來自(可複選) ,日後如果還有類似的營隊，是否願意再次參加,關於此次的營隊，還有什麼其他的建議或心得，請你寫下來，提供我們改進的方向，讓下一次的營隊辦的更為成功，造福學弟妹或是您自己。
2022/07/07 5:08:19 pm GMT+8,男,否,家長,對此領域感興趣,5,5,3,3,nope,3,5,5,課程內容;與同學的討論互動;與指導教授的討論互動;與研究生的討論互動,5,"課程的安排可能要人性化一點點
對於一個完全沒接觸過AI課程的人來說
前三天高強度的知識轟炸真的不太性"
2022/07/07 5:08:36 pm GMT+8,女,是,學校老師,對此領域感興趣,4,3,4,4,有些原理沒有講得很清楚，容易混淆，另外希望如果有開這種課，可以選擇不要如此集中上課，到了晚上精神很容易渙散，甚至過於集中隔天可能也沒有一顆清醒的腦袋上課。此外，希望下次還能有諸如此類的活動舉行，儘管很累，但很開心。希望可以多多帶實作，不然觀念講一講沒有帶其實還是不太會操作，以上。謝謝各位教授、老師、助教以及隊輔的指導、照顧與關心^^,5,5,5,課程內容;與同學的討論互動;與指導教授的討論互動;與研究生的討論互動;與隊輔的討論互動,5,我..在前面好像都打完了.....希望下次不要時間排得如此緊湊，休息時間要夠，可以多天，內容可以再豐富一點，希望今年寒假還有這樣的活動可以參加！！謝謝各位教授、老師、助教、隊輔的指導、關心與照顧~
2022/07/07 5:09:06 pm GMT+8,女,是,學校網頁;家長,對此領域感興趣;未來的工作或學業有此需求,3,4,4,2,物件偵測,5,4,5,課程內容;與同學的討論互動;與研究生的討論互動,5,"時間安排有點過於緊湊，整天上下來蠻累的，可以把中堂休息增加
便當太多了QAQ"
2022/07/07 5:10:29 pm GMT+8,男,是,家長,對此領域感興趣;家長要求;未來的工作或學業有此需求,5,4,3,4,no,2,2,5,課程內容,4,no
2022/07/07 5:10:56 pm GMT+8,男,是,學校網頁;同學,對此領域感興趣,3,4,4,2,無,4,4,5,課程內容;與同學的討論互動;與研究生的討論互動,5,簡報顏色可以更好看
2022/07/07 5:12:33 pm GMT+8,男,否,學校老師,對此領域感興趣;同學邀約,5,5,4,3,沒有想法,5,5,5,課程內容;與同學的討論互動;與研究生的討論互動,4,課程深度對於沒有python基礎的人類會有困難（本人便有點這種感覺）但大多課程都還可以，只不過記憶力要稍強，否則到了隔天很容易忘記。
2022/07/07 5:12:56 pm GMT+8,女,否,學校網頁,對此領域感興趣;家長要求,4,3,3,3,無,3,5,5,課程內容;與同學的討論互動;與指導教授的討論互動;與研究生的討論互動,5,參加這一次的營隊收穫很多！感謝教授、助教、同學們的幫忙，我才能夠把報告做好。
2022/07/07 5:13:08 pm GMT+8,男,是,學校老師;同學,對此領域感興趣;同學邀約,4,4,3,4,難得住這麼好的飯店，需要更多的時間享受飯店設施,3,4,5,與同學的討論互動;與研究生的討論互動,5,課程有點緊湊，前兩天真正實作的機會很少，實作也都只是在抄code，感覺起來沒有真的加深我們對AI程式的熟練度
2022/07/07 5:15:21 pm GMT+8,男,否,學校老師,同學邀約,5,3,3,3,暫時沒想到,4,4,5,與同學的討論互動,4,暫時沒有
2022/07/07 5:15:32 pm GMT+8,男,否,學校老師;同學,對此領域感興趣;同學邀約,5,4,3,3,Python 的由來,4,4,5,與同學的討論互動;與隊輔的討論互動,3,要考慮到只有C++基礎的人，提前告知要學一些python 語法，才不會聽的一愣一愣的，不過總體來說很棒
2022/07/07 5:21:36 pm GMT+8,男,否,學校老師,對此領域感興趣,3,4,2,3,想不到,4,5,5,與研究生的討論互動,5,時間安排可以更好
2022/07/07 6:39:42 pm GMT+8,男,是,學校老師;家長,對此領域感興趣;未來的工作或學業有此需求,5,5,5,5,無,5,5,5,課程內容;與同學的討論互動;與研究生的討論互動,5,無
2022/07/07 6:41:50 pm GMT+8,女,否,家長,對此領域感興趣;家長要求,5,4,4,4,無,2,3,5,課程內容;與同學的討論互動;與研究生的討論互動,3,我覺得我們對課程的基本知識都不太夠，所以有時候會很吃力
2022/07/07 6:44:34 pm GMT+8,男,否,學校老師,對此領域感興趣,2,3,3,4,更多自己實作coding的課程,5,5,5,與指導教授的討論互動;與研究生的討論互動,5,很棒
2022/07/07 7:51:27 pm GMT+8,男,是,學校網頁,對此領域感興趣,4,4,3,2,無,5,5,5,課程內容;與同學的討論互動;與研究生的討論互動,4,講得有點快
2022/07/07 7:57:22 pm GMT+8,男,是,學校老師,對此領域感興趣;未來的工作或學業有此需求,5,4,4,2,物件偵測,5,5,5,課程內容;與同學的討論互動;與指導教授的討論互動;與研究生的討論互動;與隊輔的討論互動,5,ok
2022/07/07 8:05:32 pm GMT+8,男,是,學校老師;同學,學校老師要求或建議;對此領域感興趣;同學邀約,5,4,3,1,不知道,4,5,5,課程內容;與研究生的討論互動,4,課程時間要更長一點
2022/07/07 9:18:04 pm GMT+8,男,否,學校老師,對此領域感興趣,2,4,4,2,示範適用更多種的AI模型,2,5,5,課程內容;與同學的討論互動;與指導教授的討論互動;與研究生的討論互動,5,延長營隊天數，使課程及實作時間較充裕
2022/07/08 1:40:37 pm GMT+8,男,否,學校網頁,對此領域感興趣,1,1,2,1,"Gradient descent, cost function",5,5,5,與隊輔的討論互動,5,更深入講解基礎原理
2022/07/08 1:43:25 pm GMT+8,男,否,同學,同學邀約,1,2,2,1,"正確的篩選參加者的程度 
足夠力度的宣傳
更為多元廣泛且深入的課程
模型原理的深入介紹",3,3,4,其他,2,分隊的方式調整 可以的話提供類似團報的方式使認識的人能夠成為小組
2022/07/08 2:02:10 pm GMT+8,男,否,家長,對此領域感興趣;家長要求;未來的工作或學業有此需求,4,4,4,4,👍,5,5,5,課程內容,5,👍